Project Name,Address,Zip Code,Total Units ,Total Affordable Units,Unit Type,Housing Type,Status,1 Person Household ,2 Person Household,3 Person Household ,4 Person Household,5 Person Household ,Property Management Company,Phone ,Website ,Longitude,Latitude.,Location
2503 E 9th Steet,2503 E 9th Steet,78702,1,1,Single Family,Residential Housing,Project Completed,18100,20650,23250,25800,27900,Blackshear Neighborhood Development Corportation,512-476-2222,,-97.7143057513509,30.2648038720975,"(30.2648038720975, -97.7143057513509)"
Austin Travis County MHMR,6222 N Lamar Boulevard,78757,37,37,Multifamily,Transitional Housing,Project Completed,30100,24400,38700,43000,46450,Austin Travis County Integral Care,512-804-3303,http://www.integralcare.org/en/home/,-97.7235097123333,30.3312292507617,"(30.3312292507617, -97.7235097123333)"
Heritage Heights,1608 E 10th Street,78702,1,1,Single Family,Residential Housing,Project Completed,36120,41280,46440,51600,55740,PRAK Property Management,512-808-7999,http://www.prakpropertymanagement.com/home.html,-97.724124,30.266574,"(30.266574, -97.724124)"
Southwest Trails Apartments,8405 Old Bee Caves Road,78735,160,160,Multifamily,Residential Housing,Project Completed,36120,41280,46440,51600,55740,Foundation Communities,512-301-2442,http://foundcom.org/housing/our-austin-communities/southwest-trails-apartments/,-97.8872430326643,30.2512241070173,"(30.2512241070173, -97.8872430326643)"
Santa Maria Village Apartments,8071 N Lamar Boulevard,78753,176,176,Multifamily,Residential Housing,Project Completed,30100,24400,38700,43000,46450,,,,-97.71088,30.348604,"(30.348604, -97.71088)"
Jefferson at West Campus,600 W 26th Street,78705,364,36,Multifamily,Student Housing,Project Completed,48200,55050,61950,68800,74350,American Campus Communities,512-478-9811,https://www.americancampus.com/student-apartments/tx/austin/26-west,-97.7434636763484,30.2911102238676,"(30.2911102238676, -97.7434636763484)"
2112 E 8th Street,2112 E 8th Street,78702,1,1,Single Family,Residential Housing,Project Completed,30100,24400,38700,43000,46450,,512-834-0780,,-97.718184673049,30.2628196288271,"(30.2628196288271, -97.718184673049)"
4008 Brookview (ADU),4008 Brookview Road,78722,1,1,Single Family,Residential Housing,Building Permit Issued,48200,55050,61950,68800,74350,,,,-97.71003,30.294169,"(30.294169, -97.71003)"
Heritage Heights,1624 E 10th Street,78702,1,1,Single Family,Residential Housing,Project Completed,36120,41280,46440,51600,55740,PRAK Property Management,512-808-7999,http://www.prakpropertymanagement.com/home.html,-97.723095,30.266176,"(30.266176, -97.723095)"
1705 Rosewood Avenue,1705 Rosewood Avenue,78702,2,2,Duplex,Residential Housing,Project Completed,30100,24400,38700,43000,46450,Blackshear Neighborhood Development Corportation,512-476-2222,,-97.726139936,30.2692117855035,"(30.2692117855035, -97.726139936)"
Legacy Apartments,1340 Lamar Square Drive,78704,40,40,Multifamily,Residential Housing,Project Completed,48200,55050,61950,68800,74350,Mary Lee Foundation,512-443-5777,http://www.maryleefoundation.org/programs-and-services/affordable-housing/,-97.7642027614895,30.2547309646977,"(30.2547309646977, -97.7642027614895)"
Eastside Village,1621 E 6th Street,78702,346,66,Multifamily,Residential Housing,Project Completed,36120,41280,46440,51600,55740,Lincoln Property Company,512-538-1770,http://arnoldaustin.com/,-97.7254872494935,30.2625146101426,"(30.2625146101426, -97.7254872494935)"
Texas Alpha House,2501 Nueces Street,78705,17,2,Multifamily,Student Housing,Project Completed,36120,41280,46440,51600,55740,,,,-97.7427748148446,30.2893207610882,"(30.2893207610882, -97.7427748148446)"
Post South Lamar,1500 S Lamar Boulevard,78704,298,30,Multifamily,Residential Housing,Project Completed,48200,55050,61950,68800,74350,MAA,512-445-9797,http://www.maac.com/texas/austin/post-south-lamar,-97.7645254841521,30.2525581684323,"(30.2525581684323, -97.7645254841521)"
Garden Terrace Phase I,1015 W William Cannon Drive,78745,85,85,Multifamily,Residential Housing,Project Completed,30100,24400,38700,43000,46450,Foundation Communities,512-416-8300,http://foundcom.org/housing/our-austin-communities/garden-terrace/,-97.7934265318501,30.1986408937312,"(30.1986408937312, -97.7934265318501)"
Springdale Apartments,5605 Springdale Road,78723,292,292,Multifamily,Residential Housing,Project Completed,36120,41280,46440,51600,55740,Lincoln Property Company,512-354-4427,https://www.reserveatspringdaleapts.com/,-97.6738898931607,30.2989810707065,"(30.2989810707065, -97.6738898931607)"
916 Neal Street,916 Neal Street,78702,1,1,Single Family,Residential Housing,Project Completed,30100,24400,38700,43000,46450,Green Doors,512-469-9130,http://www.greendoors.org/,-97.7104857964919,30.2688504901787,"(30.2688504901787, -97.7104857964919)"
Block on Rio Grande,2819 Rio Grande Street,78705,97,20,Multifamily,Student Housing,Project Completed,48200,55050,61950,68800,74350,American Campus Communities,512-478-9811,http://www.theblockwestcampus.com/,-97.7436671748325,30.2950720832625,"(30.2950720832625, -97.7436671748325)"
1002 Wheeless Street,1002 Wheeless Street,78702,2,2,Duplex,Residential Housing,Project Completed,36120,41280,46440,51600,55740,Guadalupe Neighborhood Development Corporation,512-479-6275,http://www.guadalupendc.org,-97.7277596502184,30.2679718599611,"(30.2679718599611, -97.7277596502184)"
Allandale Condos,7685 Northcross Drive,78757,10,10,Multifamily,Residential Housing,Project Completed,30100,24400,38700,43000,46450,Platinum Realty,512-925-5392,https://www.platinumrealtyaustin.com/,-97.7356936462426,30.3542193816473,"(30.3542193816473, -97.7356936462426)"
UH 2100 San Antonio,2100 San Antonio Street,78705,504,50,Multifamily,Student Housing,Project Completed,36120,41280,46440,51600,55740,Scion Group,512-370-2700,http://uhaustin.com/,-97.7431252465542,30.2841853592788,"(30.2841853592788, -97.7431252465542)"
AHFC - SF,2008 E 10th Street,78702,1,1,Single Family,Residential Housing,Project Completed,36120,41280,46440,51600,55740,PRAK Property Management,512-808-7999,http://www.prakpropertymanagement.com/home.html,-97.71899,30.264686,"(30.264686, -97.71899)"
Block on Pearl South,900 W 22nd Street,78705,49,5,Multifamily,Student Housing,Project Completed,48200,55050,61950,68800,74350,American Campus Communities,512-478-9811,http://www.theblockwestcampus.com/p/student_housing/pearl_south_mobile/austin-tx-78705/the-block-on-campus-6569,-97.7467094702945,30.2856298709677,"(30.2856298709677, -97.7467094702945)"
The Super Co-op,1905 Nueces Street,78705,50,50,Multifamily,Student Housing,Project Completed,30100,24400,38700,43000,46450,The College Houses,512-476-5678,https://collegehouses.org/listings/nueces/,-97.743836076894,30.283017984191,"(30.283017984191, -97.743836076894)"
The Villages at The Domain,11011 Domain Drive,78758,436,3,Multifamily,Residential Housing,Project Completed,39150,44700,50300,55900,60350,Lincoln Property Company,866-842-6770,https://www.lincolnapts.com/properties/villages-at-the-domain-austin-tx/connect,-97.725756,30.396506,"(30.396506, -97.725756)"
Westgate Ridge Multifamily,8700 Westgate Boulevard,78745,140,140,Multifamily,Residential Housing,Project Completed,36120,41280,46440,51600,55740,Pedcor Management Company,512-717-5706,http://www.pedcormanagement.com/Home?ID=300,-97.832658,30.192697,"(30.192697, -97.832658)"
Bluebonnet Studios SRO,2301 S Lamar Boulevard,78704,107,107,Multifamily,Residential Housing,Project Completed,30100,24400,38700,43000,46450,Foundation Communities,512-617-4441,http://foundcom.org/housing/our-austin-communities/bluebonnet-studios/,-97.7755165142672,30.2469873500171,"(30.2469873500171, -97.7755165142672)"
SOL,1129 Altum Street,78702,2,2,Duplex,Residential Housing,Project Completed,36120,41280,46440,51600,55740,Guadalupe Neighborhood Development Corporation,512-479-6275,http://www.guadalupendc.org/,-97.7173198185887,30.2703971161874,"(30.2703971161874, -97.7173198185887)"
Anderson Village,3101 E 12th Street,78702,24,24,Multifamily,Residential Housing,Project Completed,48200,55050,61950,68800,74350,PRAK Property Management,512-808-7999,http://www.prakpropertymanagement.com/anderson-village.html,-97.7022099532088,30.2764466414759,"(30.2764466414759, -97.7022099532088)"
Garden Terrace Phase III,1015 W William Cannon Drive,78745,20,20,Multifamily,Residential Housing,Building Permit Issued,30100,24400,38700,43000,46450,Foundation Communities,512-416-8300,http://foundcom.org/housing/our-austin-communities/garden-terrace/,-97.792919,30.198406,"(30.198406, -97.792919)"
4904 West Wind Trail,4904 West Wind Trail,78745,4,3,FourPlex,Residential Housing,Project Completed,30100,24400,38700,43000,46450,Frameworks Community Development Corporation,512-385-1500,https://frameworkscdc.org/,-97.8033852378787,30.2274411258956,"(30.2274411258956, -97.8033852378787)"
Pecan Springs Commons,5803 Sweeney Circle,78723,4,4,FourPlex,Residential Housing,Project Completed,30100,24400,38700,43000,46450,Green Doors,512-469-9130,http://www.greendoors.org/,-97.6791611643279,30.3047842649745,"(30.3047842649745, -97.6791611643279)"
Heritage Heights,1621 E 11th Street,78702,1,1,Single Family,Residential Housing,Project Completed,36120,41280,46440,51600,55740,PRAK Property Management,512-808-7999,http://www.prakpropertymanagement.com/home.html,-97.723149,30.266767,"(30.266767, -97.723149)"
2014 Covered Wagon Pass,2014 Covered Wagon Pass,78744,3,3,Single Family,Transitional Housing,Project Completed,30100,24400,38700,43000,46450,Green Doors,512-469-9130,http://www.greendoors.org/,-97.7587020302195,30.1932223225175,"(30.1932223225175, -97.7587020302195)"
The Guthrie II,3215 Gonzales Street,78702,12,1,Multifamily,Residential Housing,Building Permit Issued,36120,41280,46440,51600,55740,Cypress Residential,512-389-9097,https://theguthrieaustin.com/,-97.704573,30.258311,"(30.258311, -97.704573)"
904-908 W. 22 1/2 Street,904 W 22nd Street,78705,62,6,Multifamily,Student Housing,Project Completed,48200,55050,61950,68800,74350,American Campus Communities,512-478-9811,https://www.americancampus.com/student-apartments/tx/austin/texan-and-vintage-west-campus,-97.7470168462638,30.2856166846052,"(30.2856166846052, -97.7470168462638)"
Camden Lamar Heights,5400 N Lamar Boulevard,78756,314,31,Multifamily,Residential Housing,Project Completed,48200,55050,61950,68800,74350,Camden,512-459-5400,https://www.camdenliving.com/austin-tx-apartments/camden-lamar-heights,-97.7293680099328,30.3221231908405,"(30.3221231908405, -97.7293680099328)"
1803 E 22nd Steet,1803 E 22nd Steet,78722,2,2,Duplex,Residential Housing,Project Completed,48200,55050,61950,68800,74350,Blackland Community Development Corporation,512-220-8751,https://www.blacklandcdc.org/,-97.7224177428861,30.2825632988123,"(30.2825632988123, -97.7224177428861)"
Ivy Condos - Acq of 10 Units (2/5/13),3204 Manchaca Road,78704,10,10,Multifamily,Residential Housing,Project Completed,30100,24400,38700,43000,46450,Easter Seals of Central Texas,512-615-6820,http://www.easterseals.com/centraltx/our-programs/adult-services/community-housing-services/,-97.7826687601118,30.2402757402636,"(30.2402757402636, -97.7826687601118)"
Texan 26th,1009 W 26th Street,78705,206,21,Multifamily,Student Housing,Project Completed,36120,41280,46440,51600,55740,CA Ventures,512-391-1991,https://www.texan26.com/,-97.7481752993404,30.2905892714381,"(30.2905892714381, -97.7481752993404)"
Quarters at Cameron,2707 Rio Grande Street,78705,64,6,Multifamily,Student Housing,Project Completed,48200,55050,61950,68800,74350,Quarters at Campus,512-310-7627,http://quartersoncampus2.businesscatalyst.com/cameron.html,-97.7439141695708,30.292392736346,"(30.292392736346, -97.7439141695708)"
2505 Village Trail Circle,2505 Village Trail Circle,78744,7,7,Single Family,Transitional Housing,Project Completed,18100,20650,23250,25800,27900,Green Doors,512-469-9130,http://www.greendoors.org/,-97.7459847828035,30.1947866738427,"(30.1947866738427, -97.7459847828035)"
Crossroads Apartments,8801 McCann Drive,78757,14,14,Multifamily,Residential Housing,Project Completed,18100,20650,23250,25800,27900,Foundation Communities,512-452-5987,http://foundcom.org/housing/our-austin-communities/crossroads-apartments/,-97.7294480083748,30.3727304927457,"(30.3727304927457, -97.7294480083748)"
Oak Springs Villas,3001 Oak Springs Drive,78702,56,56,Multifamily,Residential Housing,Project Completed,30100,24400,38700,43000,46450,Volunteers of America,512-928-2015,https://www.voa.org/housing_properties/oak-springs-villas,-97.7012606512304,30.2726991337306,"(30.2726991337306, -97.7012606512304)"
Heritage Heights,1611 E 11th Street,78702,1,1,Single Family,Residential Housing,Project Completed,36120,41280,46440,51600,55740,PRAK Property Management,512-808-7999,http://www.prakpropertymanagement.com/home.html,-97.7237,30.266957,"(30.266957, -97.7237)"
The Point at Ben White,6934 E Ben White Boulevard,78741,250,250,Multifamily,Residential Housing,Project Completed,48200,55050,61950,68800,74350,Capstone Management,512-222-5658,http://thepointeatbenwhite.com/,-97.7035830097557,30.2163180282958,"(30.2163180282958, -97.7035830097557)"
2009 Salina Street,2009 Salina Street,78722,6,6,Multifamily,Residential Housing,Project Completed,36120,41280,46440,51600,55740,Blackland Community Development Corporation,512-220-8751,https://www.blacklandcdc.org/housing/,-97.7222834520494,30.2813953297002,"(30.2813953297002, -97.7222834520494)"
Guadalupe Saldana - Duplex,1216 Paul Theresa Saldana Street,78702,2,2,Duplex,Residential Housing,Project Completed,30100,24400,38700,43000,46450,Guadalupe Neighborhood Development Corporation,512-479-6275,http://www.guadalupendc.org/,-97.70301,30.269795,"(30.269795, -97.70301)"
West Koenig Flats,5608 Avenue F,78751,210,21,Multifamily,Residential Housing,Project Completed,48200,55050,61950,68800,74350,Greystar,512-374-0733,https://www.westkoenigaustin.com/,-97.719384,30.321814,"(30.321814, -97.719384)"
Nightingale at Goodnight Ranch,5900 Charles Merle Drive,78747,174,157,Multifamily,Residential Housing,Building Permit Issued,36120,41280,46440,51600,55740,,,,-97.754254,30.157256,"(30.157256, -97.754254)"
Yellowstone Apartments,1215 E 52nd Street,78723,16,16,Multifamily,Residential Housing,Project Completed,36120,41280,46440,51600,55740,,512-452-8631,http://yellowstoneap.startlogic.com/,-97.706658,30.30867,"(30.30867, -97.706658)"
La Vista de Guadalupe,813 E 8th Street,78702,22,22,Multifamily,Residential Housing,Project Completed,36120,41280,46440,51600,55740,Guadalupe Neighborhood Development Corporation,512-479-6275,http://www.guadalupendc.org/,-97.7330072179264,30.2671189761308,"(30.2671189761308, -97.7330072179264)"
Avon at 22nd,911 W 22nd Street,78705,19,2,Multifamily,Student Housing,Building Permit Issued,36120,41280,46440,51600,55740,Central Properties,512-474-0111,http://www.avonat22nd.com,-97.747712,30.285403,"(30.285403, -97.747712)"
Primrose at Shadow Creek (fka Arbors Creekside),1026 Clayton Lane,78723,176,176,Multifamily,Senior Housing,Project Completed,36120,41280,46440,51600,55740,Good Harbor Management,512-419-1525,http://primroseofshadowcreek.com/,-97.704317,30.319659,"(30.319659, -97.704317)"
Block on Leon,2510  Leon Street,78705,138,28,Multifamily,Student Housing,Project Completed,48200,55050,61950,68800,74350,American Campus Communities,512-478-9811,http://www.theblockwestcampus.com/,-97.7494448965295,30.2905186122491,"(30.2905186122491, -97.7494448965295)"
Heritage Heights,1600 E 9th Street,78702,1,1,Single Family,Residential Housing,Project Completed,36120,41280,46440,51600,55740,PRAK Property Management,512-808-7999,http://www.prakpropertymanagement.com/home.html,-97.725015,30.265715,"(30.265715, -97.725015)"
Pecan Springs Commons,5804 Sweeney Circle,78723,4,4,FourPlex,Residential Housing,Project Completed,30100,24400,38700,43000,46450,Green Doors,512-469-9130,http://www.greendoors.org/,-97.6798405537649,30.3052934003297,"(30.3052934003297, -97.6798405537649)"
Regents at 26th,900 W 26th Street,78705,139,14,Multifamily,Student Housing,Project Completed,48200,55050,61950,68800,74350,CWS,512-592-5015,https://www.cwsapartments.com/apartments/tx/austin/regents-west-at-26th/,-97.7464944873157,30.29099695188,"(30.29099695188, -97.7464944873157)"
Highland Phase II - North,110 Jacob Fontaine Lane,78752,222,22,Multifamily,Residential Housing,Building Permit Issued,48200,55050,61950,68800,74350,,,,-97.714668,30.324758,"(30.324758, -97.714668)"
Texan at Pearl,2515 Pearl Street,78705,81,8,Multifamily,Student Housing,Project Completed,48200,55050,61950,68800,74350,Texan Properties,512-476-1976,http://www.texanproperties.net/tp/,-97.7462507347869,30.2906494489182,"(30.2906494489182, -97.7462507347869)"
912 Neal Street,912 Neal Street,78702,1,1,Single Family,Residential Housing,Project Completed,30100,24400,38700,43000,46450,Green Doors,512-469-9130,http://www.greendoors.org/,-97.7103568683844,30.2687163287403,"(30.2687163287403, -97.7103568683844)"
2102 Chicon Street,2102 Chicon Street,78722,1,1,Single Family,Residential Housing,Project Completed,36120,41280,46440,51600,55740,Blackland Community Development Corporation,512-220-8751,https://www.blacklandcdc.org/housing/,-97.7219492022444,30.2821393008315,"(30.2821393008315, -97.7219492022444)"
Post South Lamar 2,1414 S Lamar Boulevard,78704,350,35,Multifamily,Residential Housing,Project Completed,36120,41280,46440,51600,55740,MAA,512-445-9797,http://www.maac.com/texas/austin/post-south-lamar,-97.7638415274829,30.2529251388769,"(30.2529251388769, -97.7638415274829)"
Windsor  South Lamar,809 S Lamar Boulevard,78704,116,12,Multifamily,Residential Housing,Project Completed,36120,41280,46440,51600,55740,Windsor Communities,512-445-9000,https://www.windsorsola.com/?_ga=2.131103759.1897859397.1515096511-1912521076.1514995961,-97.7601725143492,30.2572608624833,"(30.2572608624833, -97.7601725143492)"
Ivy Condos,3204 Manchaca Road,78704,8,8,Multifamily,Residential Housing,Project Completed,30100,24400,38700,43000,46450,Easter Seals of Central Texas,512-615-6820,http://www.easterseals.com/centraltx/our-programs/adult-services/community-housing-services/,-97.7826687601118,30.2402757402636,"(30.2402757402636, -97.7826687601118)"
4910 West Wind Trail,4910 W Wind Trail,78745,4,3,FourPlex,Residential Housing,Project Completed,30100,24400,38700,43000,46450,Frameworks Community Development Corporation,512-385-1500,https://frameworkscdc.org/,-97.8042,30.227193,"(30.227193, -97.8042)"
Heritage Heights,1625 E 11th Street,78702,1,1,Single Family,Residential Housing,Project Completed,36120,41280,46440,51600,55740,PRAK Property Management,512-808-7999,http://www.prakpropertymanagement.com/home.html,-97.722927,30.266657,"(30.266657, -97.722927)"
Colorado Creek Apartments,2917 Fallwell Lane,78617,240,216,Multifamily,Residential Housing,Building Permit Issued,48200,55050,61950,68800,74350,,,,-97.633937,30.205648,"(30.205648, -97.633937)"
The Works at Pleasant Valley,2800 Lyons Road,78702,45,45,Multifamily,Transitional Housing,Project Completed,30100,24400,38700,43000,46450,Lifeworks,512-735-2100,http://www.lifeworksaustin.org/housing/,-97.7074000922684,30.263973435801,"(30.263973435801, -97.7074000922684)"
2200 Nueces Street,2200 Nueces Street,78705,439,44,Multifamily,Student Housing,Building Permit Issued,36120,41280,46440,51600,55740,,,,-97.744188,30.285401,"(30.285401, -97.744188)"
Amli at Mueller,1900 Simond Avenue,78723,279,42,Multifamily,Residential Housing,Project Completed,36120,41280,46440,51600,55740,Amli Residential,844-886-9487,https://www.amli.com/apartments/austin/central-austin/austin/mueller,-97.703698,30.29717,"(30.29717, -97.703698)"
Cornerstone,1322 Lamar Square Drive,78704,30,30,Multifamily,Residential Housing,Project Completed,30100,24400,38700,43000,46450,Mary Lee Foundation,512-443-5777,http://www.maryleefoundation.org/programs-and-services/affordable-housing/,-97.7642238885743,30.2553062066707,"(30.2553062066707, -97.7642238885743)"
Heritage Heights,1610 E 10th Street,78702,1,1,Single Family,Residential Housing,Project Completed,36120,41280,46440,51600,55740,PRAK Property Management,512-808-7999,http://www.prakpropertymanagement.com/home.html,-97.723987,30.266482,"(30.266482, -97.723987)"
Thornton Flats,2501 Thornton Road,78704,105,11,Multifamily,Residential Housing,Project Completed,36120,41280,46440,51600,55740,PSW Community Management,512-298-4327,http://www.thorntonflats.com/,-97.7727723283092,30.2430961658273,"(30.2430961658273, -97.7727723283092)"
Texan West Campus,2616 Salado Street,78705,62,6,Multifamily,Student Housing,Project Completed,48200,55050,61950,68800,74350,American Campus Communities,512-478-9811,https://www.americancampus.com/student-apartments/tx/austin/texan-and-vintage-west-campus,-97.745467,30.292272,"(30.292272, -97.745467)"
Pathways at Chalmers Court - South,1638 E 2nd Street,78702,87,87,Multifamily,Residential Housing,Building Permit Issued,36120,41280,46440,51600,55740,Housing Authority of the City of Austin,512-447-0967,https://www.hacanet.org/location/goodrich-place/,-97.726547,30.259144,"(30.259144, -97.726547)"
1002 Navasota,1002 Navasota,78702,1,1,Single Family,Residential Housing,Project Completed,48200,55050,61950,68800,74350,Guadalupe Neighborhood Development Corporation,512-479-6275,http://www.guadalupendc.org,-97.7267204286374,30.2677185659426,"(30.2677185659426, -97.7267204286374)"
Alexan East 6th Street,2400 E 6th Street,78702,208,21,Multifamily,Residential Housing,Project Completed,48200,55050,61950,68800,74350,Alexan Properties,844-818-2443,https://alexane6.com/,-97.7157063633958,30.2596982820815,"(30.2596982820815, -97.7157063633958)"
2004 Chicon Street,2004 Chicon Street,78722,2,2,Duplex,Residential Housing,Project Completed,30100,24400,38700,43000,46450,Blackland Community Development Corporation,512-220-8751,https://www.blacklandcdc.org/housing/,-97.7218158797085,30.2811519564407,"(30.2811519564407, -97.7218158797085)"
Runnymeade Apartments,1101 Rutland Drive,78758,252,252,Multifamily,Residential Housing,Project Completed,36120,41280,46440,51600,55740,,512-836-9711,,-97.702694,30.366941,"(30.366941, -97.702694)"
Urban Oaks,6725 Circle S Road,78745,194,194,Multifamily,Residential Housing,Project Completed,36120,41280,46440,51600,55740,Lincoln Property Company,512-524-0621,https://www.urbanoaksapts.com/,-97.7778564092322,30.1908445370978,"(30.1908445370978, -97.7778564092322)"
1116 Harvard Street,1116 Harvard Street,78702,1,1,Single Family,Residential Housing,Project Completed,36120,41280,46440,51600,55740,Blackshear Neighborhood Development Corportation,512-476-2222,,-97.7162387220264,30.2672397186309,"(30.2672397186309, -97.7162387220264)"
1009 E 10th Street,1009 E 10th Street,78702,1,1,Duplex,Residential Housing,Project Completed,36120,41280,46440,51600,55740,Guadalupe Neighborhood Development Corporation,512-479-6275,http://www.guadalupendc.org,-97.7305781128068,30.2684283282867,"(30.2684283282867, -97.7305781128068)"
Axis West campus,2505 Longview Street,78705,167,34,Multifamily,Student Housing,Project Completed,48200,55050,61950,68800,74350,TPCO,512-961-8999,http://www.axiswestcampus.com/index,-97.7502350368063,30.2900669818974,"(30.2900669818974, -97.7502350368063)"
Saint Louise House,3200 S Lamar Boulevard,78704,24,24,Multifamily,Transitional Housing,Project Completed,30100,24400,38700,43000,46450,Saint Louise House,512-326-2774,http://saintlouisehouse.org/,-97.7853030430762,30.2419701034856,"(30.2419701034856, -97.7853030430762)"
City View at the Park,2000 Woodward Street,78741,70,68,Multifamily,Senior Housing,Project Completed,36120,41280,46440,51600,55740,Capstone Management,512-804-5296,https://capstonemanagement.com/,-97.7434213272554,30.2184855516517,"(30.2184855516517, -97.7434213272554)"
Austin Children's Shelter,4800 Manor Road,78723,28,28,Multifamily,Children's Shelter,Project Completed,30100,24400,38700,43000,46450,Austin's Children Shelter,512-804-3303,http://www.safeaustin.org/austinchildrensshelter/,-97.689067926575,30.2956389135677,"(30.2956389135677, -97.689067926575)"
Villas on San Gabriel II,2414 San Gabriel Street,78705,92,9,Multifamily,Student Housing,Project Completed,36120,41280,46440,51600,55740,Arthur Walston,512-968-3500,https://villasatsangabriel.com/,-97.7478919302532,30.2888435785374,"(30.2888435785374, -97.7478919302532)"
Accessible Housing Austin! - SF,3705 Tamil Street,78749,1,1,Single Family,Accessible Housing,Project Completed,30100,24400,38700,43000,46450,Accessible Housing Austin!,512-640-7781,http://www.ahaustin.org,-97.836008,30.211278,"(30.211278, -97.836008)"
Meadowood Apartments,9601 Middle Fiskville Road,78758,200,180,Multifamily,Residential Housing,Project Completed,48200,55050,61950,68800,74350,,,,-97.6850009341505,30.3594094449148,"(30.3594094449148, -97.6850009341505)"
Stony Creek Apartments,4911 Manchaca Road,78745,132,119,Multifamily,Residential Housing,Project Completed,48200,55050,61950,68800,74350,M3 Multifamily,512-444-5700,https://www.rentstonycreek.com/,-97.7926596045586,30.2219647316627,"(30.2219647316627, -97.7926596045586)"
AMLI South Shore Phase II,1620 E Riverside Drive,78741,75,4,Multifamily,Residential Housing,Building Permit Issued,48200,55050,61950,68800,74350,Amli Residential,512-447-1620,https://www.amli.com/apartments/austin/central-east-austin/austin/south-shore,-97.730198,30.245229,"(30.245229, -97.730198)"
Heights on Parmer Phase Two,1500 E Parmer Lane,78753,80,80,Multifamily,Residential Housing,Building Permit Issued,36120,41280,46440,51600,55740,Portico Property Management,512-598-0854,https://www.liveatparmerplace.com/,-97.650793,30.390823,"(30.390823, -97.650793)"
William Cannon Apartments,2112 William Cannon Drive,78744,252,252,Multifamily,Residential Housing,Project Completed,36120,41280,46440,51600,55740,Pedcor Management Company,512-792-3534,http://www.pedcormanagement.com/Home?ID=271,-97.7613178962303,30.1878667909073,"(30.1878667909073, -97.7613178962303)"
SOL,5908 Ventus Street,78721,1,1,Single Family,Residential Housing,Project Completed,36120,41280,46440,51600,55740,Guadalupe Neighborhood Development Corporation,512-479-6275,http://www.guadalupendc.org/,-97.6847885966937,30.2586421166223,"(30.2586421166223, -97.6847885966937)"
Heritage Heights,1625 E 10th Street,78702,1,1,Single Family,Residential Housing,Project Completed,36120,41280,46440,51600,55740,PRAK Property Management,512-808-7999,http://www.prakpropertymanagement.com/home.html,-97.723292,30.2657,"(30.2657, -97.723292)"
Villages at Fiskville,10127 Middle Fiskville Road,78753,172,155,Multifamily,Senior Housing,Building Permit Issued,48200,55050,61950,68800,74350,,512-434-0288,https://villagesatfiskville.com/,-97.681344,30.364435,"(30.364435, -97.681344)"
Elan Parkside Apartments,609 Clayton Lane,78752,309,31,Multifamily,Residential Housing,Building Permit Issued,48200,55050,61950,68800,74350,Greystar,512-975-2869,https://www.greystar.com/?sc_lang=en,-97.715995,30.326874,"(30.326874, -97.715995)"
SafePlace 14 Unit Expansion,Undisclosed,78741,14,14,Multifamily,Transitional Housing,Project Completed,30100,24400,38700,43000,46450,,,,-97.705841,30.231371,"(30.231371, -97.705841)"
Lakeline Station,13635 Rutledge Spur,78717,128,128,Multifamily,Residential Housing,Project Completed,36120,41280,46440,51600,55740,Foundation Communities,512-615-4750,http://foundcom.org/housing/our-austin-communities/lakeline-station-apartments/,-97.7803449892326,30.4762530810604,"(30.4762530810604, -97.7803449892326)"
